Date,RV,CV,JV
2017-05-04,0.049665030877404065,0.051315831128343654,0.0
2017-05-05,0.01628583529019957,0.011691870182215227,0.004593965107984344
2017-05-06,0.003847306472288854,0.0037741509959781506,7.315547631070321e-05
2017-05-07,0.011832746677635834,0.009774848496251848,0.0020578981813839867
2017-05-08,0.012070293981667646,0.010356163898250944,0.0017141300834167018
2017-05-09,0.03653320281385125,0.025870720691974786,0.010662482121876465
2017-05-10,0.03989902257395836,0.024429075480958018,0.015469947093000341
2017-05-11,0.021064819817625726,0.01886909049838995,0.002195729319235777
2017-05-12,0.016238431700348187,0.01568470866359181,0.0005537230367563782
2017-05-13,0.00771645917182426,0.005957271611334417,0.0017591875604898426
2017-05-14,0.005258471292249375,0.004964927903387426,0.000293543388861949
2017-05-15,0.006461038973434143,0.003597213275754394,0.002863825697679749
2017-05-16,0.02655720845104472,0.02548729277605344,0.0010699156749912828
2017-05-17,0.021122317354696052,0.018915824383860823,0.002206492970835229
2017-05-18,0.006868216252348425,0.0056550407883982955,0.0012131754639501295
2017-05-19,0.0058589632266178,0.00441194345788945,0.00144701976872835
2017-05-20,0.002190476548475805,0.001754509068743568,0.000435967479732237
2017-05-21,0.006788792807386582,0.0036631736022983133,0.003125619205088269
2017-05-22,0.023658344912801957,0.01543081853696023,0.008227526375841726
2017-05-23,0.018095837482494243,0.01342956889848436,0.004666268584009883
2017-05-24,0.01202132856910523,0.01006000188750565,0.00196132668159958
2017-05-25,0.061891311007459336,0.053273933408505954,0.008617377598953382
2017-05-26,0.024538564368845696,0.022277264772358363,0.002261299596487333
2017-05-27,0.05886097375481975,0.03329981124781922,0.02556116250700053
2017-05-28,0.014462057352358965,0.008853689293976409,0.0056083680583825565
2017-05-29,0.00620646936981822,0.004662153442337751,0.0015443159274804693
2017-05-30,0.005128634164223893,0.003959850645522779,0.0011687835187011138
2017-05-31,0.005536247941788438,0.004484238134970804,0.001052009806817634
2017-06-01,0.011199154147670292,0.005449796800708349,0.005749357346961943
2017-06-02,0.003926107807529146,0.002616859982601233,0.0013092478249279128
2017-06-03,0.002051877280067333,0.0013968330142001405,0.0006550442658671927
2017-06-04,0.0015729298303957414,0.0012267520024854246,0.0003461778279103167
2017-06-05,0.004514928029851983,0.004852033509710342,0.0
2017-06-06,0.005045875710633996,0.00482749010244756,0.00021838560818643587
2017-06-07,0.0030477769627216098,0.0027079658081254525,0.00033981115459615725
2017-06-08,0.0030245235330934343,0.0025987676253019436,0.00042575590779149073
2017-06-09,0.0013869619248769553,0.000963859380573028,0.0004231025443039273
2017-06-10,0.0014653337422250723,0.001000142060125228,0.00046519168209984427
2017-06-11,0.006488703419513234,0.004606814028020813,0.0018818893914924213
2017-06-13,0.0026513102331241047,0.002108701967131206,0.0005426082659928987
2017-06-14,0.008368059329802328,0.006611496801515256,0.0017565625282870726
2017-06-15,0.017719226182784747,0.010440147855940489,0.007279078326844258
2017-06-16,0.007324306671120232,0.006410750289584545,0.000913556381535687
2017-06-17,0.04067088986022121,0.028200227098325755,0.012470662761895453
2017-06-18,0.015448647849775243,0.01337125531633195,0.002077392533443292
2017-06-19,0.01360713319940683,0.00816554077953565,0.00544159241987118
2017-06-20,0.006841730132060646,0.006413969905801228,0.00042776022625941844
2017-06-22,0.003408038939768927,0.0025002842083141335,0.0009077547314547936
2017-06-23,0.0006928375958044734,0.00042344642554871563,0.0002693911702557578
2017-06-24,0.0032628521272687248,0.0025272400652749426,0.0007356120619937821
2017-06-25,0.006305786770020338,0.0051487427931789,0.0011570439768414384
2017-06-27,0.012753882560072932,0.008408146192097607,0.004345736367975325
2017-06-29,0.002166628756528606,0.0013124401954716202,0.0008541885610569859
2017-07-01,0.0018685424536326076,0.0013325471194275105,0.000535995334205097
2017-07-02,0.0024534143426313236,0.0020769473821642816,0.00037646696046704205
2017-07-03,0.00694400325483964,0.005054727856056962,0.001889275398782678
2017-07-04,0.012067480836646452,0.011027242129803532,0.0010402387068429199
2017-07-05,0.009286784172541553,0.006762321926544818,0.002524462245996735
2017-07-06,0.001945952869675058,0.001462254009596796,0.00048369886007826194
2017-07-07,0.005937822296082335,0.004811355277816184,0.0011264670182661507
2017-07-08,0.006248395892171937,0.004864829782099703,0.0013835661100722344
2017-07-09,0.0029098935484873204,0.0023446917919780113,0.0005652017565093092
2017-07-11,0.008472001719233922,0.006107789417474202,0.0023642123017597206
2017-07-12,0.00448765998993133,0.003755066445755011,0.0007325935441763192
2017-07-13,0.0023059195634043414,0.0017604163756265567,0.0005455031877777848
2017-07-14,0.004963310366999332,0.0038882159327158854,0.0010750944342834468
2017-07-15,0.007339356721071109,0.005527354162155608,0.0018120025589155007
2017-07-16,0.014065407859011421,0.009107855600711753,0.004957552258299669
2017-07-17,0.005917392265566934,0.004892367942834905,0.0010250243227320297
2017-07-19,0.003421128977737144,0.002418829768309285,0.001002299209427859
2017-07-20,0.0050712081454194775,0.0034035600543032307,0.0016676480911162468
2017-07-21,0.005065481760780467,0.0044732163951895975,0.0005922653655908699
2017-07-22,0.001243675248491379,0.0008317985048042604,0.00041187674368711865
2017-07-23,0.0017409263111953848,0.0012818773473148152,0.00045904896388056964
2017-07-24,0.0007249850631556224,0.00047306091903821177,0.0002519241441174106
2017-07-25,0.0041366572221900235,0.0028004314532471893,0.0013362257689428342
2017-07-26,0.002645106752000196,0.0020287184911607636,0.0006163882608394324
2017-07-27,0.0010385044479782725,0.0007930624727447703,0.00024544197523350224
2017-07-29,0.003036786719342513,0.0023400037093266736,0.0006967830100158396
