Date,RV,CV,JV
2016-07-22,0.012991077249574046,0.008646904479998909,0.004344172769575137
2016-07-23,0.008220698553695375,0.005850561374545872,0.002370137179149502
2016-07-25,0.006555570394783278,0.005197710667705133,0.0013578597270781454
2016-07-27,0.01730593568801825,0.011384296477069103,0.005921639210949148
2016-07-28,0.00432807657618281,0.0031020015230925463,0.0012260750530902636
2016-08-02,0.05156189278187519,0.04377513880708099,0.007786753974794197
2016-08-09,0.0040741234627824415,0.0026730946754190774,0.001401028787363364
2016-09-20,0.006350079118324491,0.0029738692946840828,0.003376209823640408
2016-09-21,0.009759565100003798,0.005541430384581365,0.004218134715422433
2016-09-22,0.004070734816086448,0.0023941412664687366,0.0016765935496177112
2016-12-29,0.009054723821691348,0.007043486273436518,0.0020112375482548295
2017-01-02,0.001992358227193312,0.00174690598248689,0.00024545224470642196
2017-01-04,0.005127406167935036,0.004018630200681036,0.0011087759672540002
2017-01-05,0.018473754614788934,0.01052432998447206,0.007949424630316873
2017-02-04,0.001164472630184145,0.0009573362914411296,0.00020713633874301543
2017-02-09,0.0034984883637001244,0.0009791218824565368,0.002519366481243588
2017-02-17,0.0007291183490858075,0.00047662130566360076,0.00025249704342220677
2017-02-23,0.0003314758746811541,0.0002617170755674626,6.975879911369146e-05
2017-03-03,0.011804260697951728,0.007478704354764602,0.004325556343187126
2017-03-05,0.002858869783138757,0.0028312269359780967,2.764284716066023e-05
2017-03-08,0.006819042113287167,0.004610296629447568,0.0022087454838395993
2017-03-11,0.005930519516247944,0.004541361202955687,0.0013891583132922573
2017-03-12,0.010289238180770547,0.004626319496061732,0.005662918684708815
2017-03-13,0.04000984153460295,0.03350669061228862,0.006503150922314328
2017-03-14,0.007833049337572218,0.005433430818861788,0.0023996185187104306
2017-03-18,0.06144780059064691,0.039882583750791296,0.021565216839855614
2017-03-19,0.055733170368948426,0.04754695117510426,0.008186219193844164
2017-03-20,0.009808221216199828,0.008648058469177124,0.0011601627470227034
2017-03-21,0.0026606908484697765,0.0024028565519537757,0.00025783429651600074
2017-03-22,0.006307493458254031,0.003517689094110836,0.002789804364143195
2017-03-23,0.0032681592208672226,0.002986033811495464,0.00028212540937175854
2017-03-24,0.009596843912223686,0.005172653107403333,0.004424190804820353
2017-03-25,0.014183300439864686,0.013409755609024163,0.0007735448308405224
2017-03-26,0.003756925389575917,0.0026354736945158447,0.0011214516950600723
2017-03-27,0.002851372830055576,0.001987900543511209,0.0008634722865443669
2017-03-28,0.002575443363065733,0.0016865504401027726,0.0008888929229629605
2017-03-29,0.0037006032188281936,0.002793287327133435,0.0009073158916947585
2017-03-30,0.0011770470064979125,0.0008796181476771362,0.0002974288588207763
2017-03-31,0.004801275393872438,0.0032350724969598473,0.0015662028969125907
2017-04-01,0.0025839600311074384,0.0014742348261502977,0.0011097252049571407
2017-04-03,0.019095284820481832,0.019869341661508024,0.0
2017-04-04,0.010197982694918221,0.005876272484071235,0.004321710210846987
2017-04-05,0.004684079879442598,0.0033892577987523383,0.0012948220806902593
2017-04-06,0.006333907126690703,0.005696353901736152,0.0006375532249545506
2017-04-07,0.0029600311552042437,0.002071951743240523,0.0008880794119637205
2017-04-08,0.005251169801495124,0.004413442487244804,0.0008377273142503201
2017-04-10,0.0016105762580748647,0.0012781699286649574,0.00033240632940990727
2017-04-11,0.000757329345243848,0.0005882192435880131,0.00016911010165583489
2017-04-12,0.003187917838473624,0.0034915660283456307,0.0
2017-04-13,0.004931923660149365,0.0038848335375599075,0.0010470901225894578
2017-04-14,0.0022049416922372833,0.0014068274676285008,0.0007981142246087825
2017-04-17,0.0007361599194281884,0.00045345704226140953,0.0002827028771667789
2017-04-18,0.0007854633182390833,0.0004988445124270816,0.00028661880581200175
2017-04-19,0.002764654422541424,0.001486686011699375,0.0012779684108420487
2017-04-20,0.0012558545147443876,0.0011865400588493282,6.931445589505934e-05
2017-04-21,0.0005852232094414607,0.0003520838290707921,0.00023313938037066855
2017-04-22,0.00033446646909528644,0.0002328723961406741,0.00010159407295461234
2017-04-23,0.000386786795381089,0.0002750207971000087,0.00011176599828108025
2017-04-24,0.00031930302855958824,0.0002105875435706427,0.00010871548498894555
2017-04-25,0.00046803597438244723,0.0002553556930586206,0.00021268028132382662
2017-04-26,0.0012598472911695543,0.0006718369114725157,0.0005880103796970386
2017-04-27,0.005156414204727969,0.0019816517472804746,0.003174762457447494
2017-04-28,0.012754023685926924,0.011195793614009053,0.0015582300719178717
2017-04-29,0.004419086843380354,0.0031337567516232507,0.0012853300917571035
2017-04-30,0.004576914530147049,0.003870300122496865,0.000706614407650184
2017-05-01,0.01466943811938891,0.010613255140003311,0.004056182979385599
2017-05-02,0.0055362975474190545,0.002500885373064276,0.0030354121743547784
2017-05-03,0.0024995502668998227,0.0021346211481795985,0.00036492911872022414
2017-05-04,0.006875077879104369,0.006428814760581418,0.00044626311852295156
2017-05-05,0.006746346032426544,0.006862302161289122,0.0
2017-05-06,0.0018930595832854181,0.0010796317256334558,0.0008134278576519623
2017-05-07,0.0023719943020713108,0.001978341081828221,0.0003936532202430897
2017-05-08,0.006377742383086478,0.004216351083852067,0.002161391299234411
2017-05-09,0.015547996564075111,0.00790363181750435,0.007644364746570761
2017-05-11,0.002441011980561062,0.0015704026460155371,0.0008706093345455248
2017-05-12,0.0047166850465962615,0.003668637737505013,0.0010480473090912486
2017-05-13,0.0028376791129942572,0.002541894669671901,0.00029578444332235615
2017-05-14,0.0011238979876624267,0.0009176264773145055,0.0002062715103479212
