Date,Close,High,Low,Open,Volume,Returns
5/1/2022,99.43577576,99.78279877,95.48471832,96.16786957,592413785,
5/2/2022,100.6932297,101.5106812,98.60585022,99.43371582,613922891,0.01264589
5/3/2022,99.34301758,101.2687454,97.83959961,100.6975479,542363905,-0.013409165
5/4/2022,106.2748642,106.8040924,99.26563263,99.33872986,768693782,0.069776888
5/5/2022,96.91891479,106.7127991,95.52877808,106.2708206,842334241,-0.088035393
5/6/2022,96.79175568,98.2087326,94.08901215,96.90927887,769940452,-0.001312016
5/7/2022,94.57089996,97.03630829,93.34791565,96.79421234,551811127,-0.022944678
5/8/2022,93.9764328,95.58229828,92.00299072,94.57154846,729348318,-0.006285942
5/9/2022,77.95715332,94.77955627,77.95715332,93.97541809,1207155617,-0.170460604
5/10/2022,80.22682953,84.61721802,74.82234955,77.83116913,1720920553,0.029114406
5/11/2022,66.38880157,82.39093018,65.52423859,80.21154785,1899877236,-0.172486287
5/12/2022,64.40274811,69.25701904,55.32254791,66.40777588,1925404691,-0.029915489
5/13/2022,67.96253967,72.84160614,63.49441147,64.38304901,1140599762,0.055273908
5/14/2022,68.95030975,69.99917603,64.62065887,67.94561005,743433183,0.014534037
5/15/2022,71.53037262,71.53037262,66.55667114,68.93971252,741432120,0.037419163
5/16/2022,67.21134949,71.51973724,65.45767212,71.51973724,722439504,-0.060380269
5/17/2022,72.96931458,73.51004028,67.21218872,67.21218872,802347484,0.085669535
5/18/2022,66.41563416,74.03701782,66.41563416,72.96766663,756026173,-0.089814197
5/19/2022,72.09667969,72.20411682,65.17798615,66.38671112,801021670,0.085537774
5/20/2022,68.65829468,72.90673828,67.09920502,72.07717133,729408177,-0.047691309
5/21/2022,69.70578766,70.42964935,68.17234039,68.6545639,449401029,0.015256612
5/22/2022,71.77400208,72.30361938,69.52865601,69.70726776,449155414,0.029670627
5/23/2022,69.01275635,73.74264526,68.99034882,71.76394653,736854342,-0.038471391
5/24/2022,70.32154846,70.53527832,67.68013763,69.01382446,588236113,0.018964496
5/25/2022,68.31311798,71.4364624,68.29042053,70.3192215,529431480,-0.028560669
5/26/2022,63.82813644,68.71247864,61.34075165,68.31510925,721052783,-0.065653299
5/27/2022,61.56392288,63.92855072,61.28740311,63.80057907,646210455,-0.035473597
5/28/2022,62.3132782,62.68661118,61.5578804,61.5578804,615552947,0.012171988
5/29/2022,63.74662781,64.26547241,62.10664368,63.06359482,418602793,0.023002314
5/30/2022,69.12091827,69.29692841,63.41407394,63.74580002,587913790,0.084307055
5/31/2022,68.41138458,69.56275177,67.18134308,69.11026764,532691935,-0.010265108
6/1/2022,62.96781921,70.07642365,62.54636765,68.41702271,754343388,-0.079571045
6/2/2022,64.45135498,64.61000824,62.39432526,62.96444321,497215110,0.023560221
6/3/2022,62.65926361,64.7627182,61.78827667,64.45580292,445994255,-0.027805333
6/4/2022,63.74738312,64.20510864,61.72530746,62.65883255,365451394,0.017365661
6/5/2022,63.2078743,63.7808075,62.06110764,63.74975586,358399957,-0.008463231
6/6/2022,64.41727448,66.29419708,63.08821487,63.21474838,500130108,0.019133695
6/7/2022,63.90550995,65.32668304,60.55919266,64.41806793,578504158,-0.007944523
6/8/2022,61.54667664,64.25390625,61.54667664,63.8984108,590606981,-0.036911267
6/9/2022,60.2159729,62.28816605,59.8363266,61.54385376,461393198,-0.021621049
6/10/2022,56.65841675,60.21354294,56.47998428,60.21354294,631581518,-0.059079941
6/11/2022,52.29166031,57.6788559,52.23197556,56.66562271,735247033,-0.077071628
6/12/2022,48.22890472,52.59090042,48.13050842,52.30757523,674269221,-0.07769414
6/13/2022,43.3003006,48.21331787,41.62967682,48.21331787,1135771941,-0.102191915
6/14/2022,46.13201523,46.13201523,40.68040466,43.31400299,1038406218,0.065397113
6/15/2022,50.4917717,50.64122009,41.90166855,46.13348007,1082980140,0.094506092
6/16/2022,44.69971848,50.88089371,44.33132935,50.5157547,754689123,-0.114712814
6/17/2022,47.68491364,48.25876236,44.57722473,44.70615768,624241753,0.06678331
6/18/2022,47.24725723,48.2072258,41.93596268,47.68170166,878504763,-0.009178089
6/19/2022,54.32316589,55.68432617,45.20140076,47.23798752,1408560758,0.149763374
6/20/2022,52.90559387,54.37226486,51.61100388,54.32199097,867331545,-0.026095166
6/21/2022,53.50767899,55.45185852,52.14239502,52.89878464,683095131,0.011380368
6/22/2022,52.10539246,53.57326889,50.77501678,53.52071762,571710882,-0.026207202
6/23/2022,55.76283264,56.43814468,52.04600525,52.10919571,675234042,0.070193122
6/24/2022,55.99228287,56.9617691,54.88259125,55.76162338,589158085,0.004114752
6/25/2022,58.96992874,59.52711868,55.08153915,55.990242,560628121,0.053179576
6/26/2022,56.87614441,60.3008194,56.87559509,58.95540619,486759815,-0.035505967
6/27/2022,55.92555618,58.51468277,55.24985504,56.862957,456437012,-0.016713303
6/28/2022,52.81161118,56.72005081,52.75228882,55.91389084,519374670,-0.05568018
6/29/2022,53.42253876,54.23308182,51.79049683,52.80720139,557459009,0.011568054
6/30/2022,53.64842987,53.73639297,50.40501785,53.44741058,632075268,0.004228386
7/1/2022,51.115242,55.61848831,50.38762283,53.69903183,628538818,-0.047218304
7/2/2022,50.48544693,51.41740036,49.99398422,51.13259506,448609019,-0.012321082
7/3/2022,50.9721756,51.49825287,49.34320831,50.4848671,402299367,0.00964097
7/4/2022,52.24381638,52.28271103,49.87762833,50.97188187,425036720,0.024947744
7/5/2022,49.83059311,52.33161545,48.23786163,52.23873901,559357113,-0.046191558
7/6/2022,50.3610878,50.59231567,49.2543602,49.83580399,429814449,0.010645964
7/7/2022,52.14289474,52.40673447,49.85165787,50.36019135,478192342,0.035380629
7/8/2022,51.56495285,53.7478981,50.95570374,52.14044571,565652402,-0.011083809
7/9/2022,54.16061783,54.4944191,51.47823334,51.55635452,444782359,0.050337775
7/10/2022,52.16814041,54.8812561,51.1618042,54.15983963,616041879,-0.036788307
7/11/2022,48.77458954,52.16533661,48.62705612,52.16533661,393277100,-0.065050256
7/12/2022,47.5423851,49.12919235,47.53236389,48.7748909,368912014,-0.025263246
7/13/2022,49.56312561,49.56312561,46.66299438,47.54443741,447352506,0.042503978
7/14/2022,51.21880722,51.50418854,48.13614273,49.55903625,420169921,0.033405512
7/15/2022,51.79806519,52.44595718,50.81461334,51.22144318,442039141,0.011309478
7/16/2022,55.12516403,55.25542831,51.19859314,51.79474258,426040229,0.064232107
7/17/2022,55.72135162,56.83445358,54.72036743,55.1235199,579886019,0.010815162
7/18/2022,58.62628937,59.0043869,55.52822113,55.7232666,604964726,0.052133296
7/19/2022,57.98419952,59.19778061,56.1128006,58.61126709,579491163,-0.010952251
7/20/2022,57.23776627,61.46427917,56.78121948,57.98867416,662964095,-0.012873046
7/21/2022,58.099823,58.5195694,55.46117783,57.24059677,464802265,0.015060978
7/22/2022,56.17611313,59.09777451,55.72700882,58.1005249,464241227,-0.033110426
7/23/2022,56.42631912,57.15965271,54.76734924,56.1636467,380442502,0.004453957
7/24/2022,58.48570251,59.61155701,56.3970108,56.42781067,402627822,0.036496859
7/25/2022,54.36627579,58.79483032,54.36627579,58.48329544,445424172,-0.070434765
7/26/2022,53.79017258,54.35359955,52.19551086,54.35359955,400322025,-0.010596702
7/27/2022,58.95100403,58.95100403,53.1521759,53.79882813,529603132,0.095943761
7/28/2022,63.46399689,63.92095947,58.64144516,58.95376205,757291482,0.076554979
7/29/2022,60.92249298,64.30512238,60.12721252,63.46464157,664571137,-0.040046389
7/30/2022,60.44015121,63.77112579,60.22955322,60.91704941,667982996,-0.007917302
7/31/2022,59.90950775,62.79286194,59.89641953,60.44405746,502294495,-0.008779651
