Date,Close,High,Low,Open,Volume,Returns
6/1/2022,29799.08008,31957.28516,29501.58789,31792.55469,41135817341,-0.062695364
6/2/2022,30467.48828,30604.73438,29652.70508,29794.89063,29083562061,0.022430498
6/3/2022,29704.39063,30633.03516,29375.68945,30467.80664,26175547452,-0.025046294
6/4/2022,29832.91406,29930.56445,29500.00586,29706.13867,16588370958,0.004326749
6/5/2022,29906.66211,30117.74414,29574.44922,29835.11719,17264085441,0.002472036
6/6/2022,31370.67188,31693.29102,29894.1875,29910.2832,31947336829,0.04895263
6/7/2022,31155.47852,31489.68359,29311.68359,31371.74219,40770974039,-0.006859699
6/8/2022,30214.35547,31253.69141,29944.4043,31151.48047,30242059107,-0.030207305
6/9/2022,30111.99805,30609.31055,30020.26563,30215.2793,21692004719,-0.003387708
6/10/2022,29083.80469,30245.80859,28978.14648,30110.33008,29867476527,-0.034145637
6/11/2022,28360.81055,29401.91602,28236.21289,29084.66602,27246574439,-0.024858994
6/12/2022,26762.64844,28502.68555,26762.64844,28373.51367,34163220274,-0.056351073
6/13/2022,22487.38867,26795.58984,22141.25781,26737.57813,68204556440,-0.15974726
6/14/2022,22206.79297,23018.95117,20950.81836,22487.98633,50913575242,-0.012477914
6/15/2022,22572.83984,22642.67188,20178.37695,22196.73047,54912007015,0.016483554
6/16/2022,20381.65039,22868.92188,20265.22656,22576.30469,31183975654,-0.097071944
6/17/2022,20471.48242,21243.3125,20326.51953,20385.71875,27132421514,0.004407495
6/18/2022,19017.64258,20736.04102,17708.62305,20473.42578,42009436760,-0.07101781
6/19/2022,20553.27148,20683.82227,18067.15234,19010.90234,35329942625,0.080747595
6/20/2022,20599.53711,20913.32227,19689.16992,20553.37109,30818458597,0.00225101
6/21/2022,20710.59766,21620.62891,20415.0625,20594.29492,28970212744,0.00539141
6/22/2022,19987.0293,20835.75,19848.07813,20719.41406,28574793478,-0.034937107
6/23/2022,21085.87695,21135.76172,19950.11719,19986.60742,26188097173,0.054978038
6/24/2022,21231.65625,21472.91797,20777.51172,21084.64844,24957784918,0.006913599
6/25/2022,21502.33789,21520.91406,20964.58594,21233.60938,18372538715,0.012748965
6/26/2022,21027.29492,21783.72461,21016.26953,21496.49414,18027170497,-0.022092619
6/27/2022,20735.47852,21478.08984,20620.19922,21028.23828,20965695707,-0.013877981
6/28/2022,20280.63477,21164.42383,20228.8125,20731.54492,21381535161,-0.021935532
6/29/2022,20104.02344,20364.15625,19937.79102,20281.16992,23552740328,-0.008708373
6/30/2022,19784.72656,20141.16016,18729.65625,20108.3125,26267239923,-0.015882238
7/1/2022,19269.36719,20632.67188,19073.70898,19820.4707,30767551159,-0.026048345
7/2/2022,19242.25586,19371.74805,19027.08203,19274.83594,18100418740,-0.001406965
7/3/2022,19297.07617,19558.26953,18966.95117,19242.0957,16390821947,0.002848955
7/4/2022,20231.26172,20258.74805,19063.06641,19297.31445,21594638208,0.04841073
7/5/2022,20190.11523,20635.4668,19341.23242,20225.35352,26715546990,-0.002033807
7/6/2022,20548.24609,20595.5293,19823.51172,20194.61914,24598943708,0.01773793
7/7/2022,21637.58789,21771.81641,20296.10352,20547.81445,25814972520,0.053013858
7/8/2022,21731.11719,22314.94141,21257.45313,21637.1543,49899834488,0.004322538
7/9/2022,21592.20703,21877.13867,21445.95703,21716.82813,29641127858,-0.006392223
7/10/2022,20860.44922,21591.08008,20727.12305,21591.08008,28688807249,-0.033889903
7/11/2022,19970.55664,20856.35352,19924.53906,20856.35352,24150249025,-0.04265932
7/12/2022,19323.91406,20043.44531,19308.53125,19970.47461,25810220018,-0.032379797
7/13/2022,20212.07422,20223.05273,18999.95313,19325.97266,33042430345,0.045961711
7/14/2022,20569.91992,20789.89453,19689.25781,20211.4668,31158743333,0.017704551
7/15/2022,20836.32813,21138.24414,20397,20573.15625,25905575359,0.012951349
7/16/2022,21190.31641,21514.4043,20518.89844,20834.10352,24302954056,0.016988995
7/17/2022,20779.34375,21600.64063,20778.17969,21195.04102,22927802083,-0.019394361
7/18/2022,22485.68945,22633.0332,20781.91211,20781.91211,39974475562,0.082117401
7/19/2022,23389.43359,23666.96289,21683.40625,22467.84961,48765202697,0.040191969
7/20/2022,23231.73242,24196.81836,23009.94922,23393.19141,42932549127,-0.006742411
7/21/2022,23164.62891,23388.32227,22431.14844,23233.20117,33631012204,-0.002888442
7/22/2022,22714.97852,23671.92773,22603.41602,23163.75195,31421555646,-0.019411077
7/23/2022,22465.47852,22977.21094,22002.91016,22706.98438,24021799169,-0.010983942
7/24/2022,22609.16406,22974.00195,22306.83984,22465.50977,23565495303,0.006395837
7/25/2022,21361.70117,22649.12109,21361.64258,22607.15625,35574561406,-0.0551751
7/26/2022,21239.75391,21361.12109,20776.81641,21361.12109,28624673855,-0.005708687
7/27/2022,22930.54883,22986.5293,21070.80664,21244.16992,31758955233,0.079605203
7/28/2022,23843.88672,24110.4707,22722.26563,22933.64063,40212386158,0.039830616
7/29/2022,23804.63281,24294.78711,23481.17383,23845.21289,35887249746,-0.001646288
7/30/2022,23656.20703,24572.58008,23580.50781,23796.81836,28148218301,-0.006235164
7/31/2022,23336.89648,24121.64258,23275.70313,23652.07031,23553591896,-0.01349796
8/1/2022,23314.19922,23464.78711,22890.79688,23336.71875,25849159141,-0.000972591
8/2/2022,22978.11719,23415.04102,22710.08398,23308.43359,28389250717,-0.014415337
8/3/2022,22846.50781,23578.65039,22747.83594,22981.30273,26288169966,-0.005727596
8/4/2022,22630.95703,23198.00977,22485.70117,22848.21484,25120229769,-0.009434737
8/5/2022,23289.31445,23422.82813,22612.17773,22626.83398,28881249043,0.029091011
8/6/2022,22961.2793,23326.5625,22961.2793,23291.42383,15978259885,-0.014085222
8/7/2022,23175.89063,23359.00977,22894.55664,22963.50586,15886817043,0.009346662
8/8/2022,23809.48633,24203.68945,23176.54688,23179.52734,28575544847,0.02733857
8/9/2022,23164.31836,23898.61523,22982,23811.48438,23555719219,-0.027097097
8/10/2022,23947.64258,24127.41406,22771.51953,23162.89844,32837431722,0.033815984
8/11/2022,23957.5293,24822.62891,23900.99609,23948.3457,37127036580,0.000412847
8/12/2022,24402.81836,24412.56641,23657.26563,23957.20313,27265804688,0.018586602
8/13/2022,24424.06836,24860.05078,24346.11523,24402.1875,22987346289,0.000870801
8/14/2022,24319.33398,24974.91406,24206.25977,24429.05664,22994133555,-0.004288163
8/15/2022,24136.97266,25135.58984,23839.77539,24318.31641,35123501685,-0.007498615
8/16/2022,23883.29102,24228.41602,23733.5,24126.13672,27753685646,-0.010510085
8/17/2022,23335.99805,24407.05859,23243.35352,23881.31641,30931623076,-0.022915308
8/18/2022,23212.73828,23563.83203,23177.60156,23341.03906,23747613147,-0.005281958
8/19/2022,20877.55273,23213.3125,20868.84766,23213.3125,40509610260,-0.100599314
8/20/2022,21166.06055,21350.80664,20856.73047,20872.8418,27595671000,0.013819044
8/21/2022,21534.12109,21668.8457,21103.19727,21160.39258,23102307723,0.017389185
8/22/2022,21398.9082,21531.46289,20939.18359,21531.46289,31666498758,-0.006279007
8/23/2022,21528.08789,21646.20313,20955.13867,21401.04492,31878280659,0.006036742
